id,title,schema,specification
base,Data Package,https://raw.githubusercontent.com/dataprotocols/schemas/master/data-package.json,http://dataprotocols.org/data-packages
tabular,Tabular Data Package,https://raw.githubusercontent.com/dataprotocols/schemas/master/data-package.json,http://dataprotocols.org/tabular-data-package/
